Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,3042274496.10726,4265888740.23846,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..
Afghanistan,AFG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.389,0.393489241600037,..,0.400284141302109,..
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..,..,..,..,..,..,..,3.92677449530735,3.3681096075378,4.08733672359819,6.25132816655284,..,..,9.78392178232544,6.5511634561067,6.6784014408596,6.65556115177472,..,..,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.53652416035675,5.52863746491788,5.51466791097914,5.52642424695465,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80222740040676,4.01935968514439,2.08806337615015,-3.48163037314293,8.54408325116881
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.8000001907349,15,14.3999996185303,14.1000003814697,13.8000001907349,15.9700002670288,13.0600004196167,13.6700000762939,14.0900001525879,13.4799995422363,13.3800001144409,15.8699998855591,18.0499992370605,17.1900005340576,15.4200000762939,13.6199998855591,12.3000001907349,11.4700002670288,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18260043499.8068
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6494.38571288581
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,78.686,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.77052583431551,0.484002611818484,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,3.50120835492656,-0.367317209784628,2.0605984592022,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,47.5794520503068,46.1731745895907,44.8296265467915,47.85935562815,49.0574825118736,54.9542146887506,52.1493333802176,49.8541657924919,48.5639550032469,51.9770317939697,47.572712860263,46.9573987095321,47.19484413802,44.5336151883802,45.8319636476989,46.624465948041,45.236190919583,44.9749244902205,37.2477679402658,43.9021096845633
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.9456161731319,20.8473864531722,22.2175607600291,23.0129911473171,25.2096077274316,28.2478654166425,25.3024181160681,25.2407486083138,27.9794352415409,29.2415371390963,28.9374877608303,28.9163151372576,28.2130014584625,27.2673911512668,28.9778991754721,31.5698080476189,31.5719272134517,31.3042701298034,22.7039815429045,30.6161823962294
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,866478231.283188,1038294231.23302,1387912853.56432,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24,..
Albania,ALB,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,0.54360294342041,..,..,..,..,..,..,0.621,0.628666281700134,..,0.634250938892365,..
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.9093843834478,5.32389656631122,4.21914700442173,4.98896919473502,3.10151317930892,3.46078583569573,3.09723004393071,2.85902260444178,4.30796304921017,4.84873152744263,5.38761486858166,4.27028419430069,4.03962701467766,2.21413141700259,2.73694779046898,2.01097785878705,2.2894924438077,2.25622918845519,2.11967475154632,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.60000000000744,7.20000000046512,4.29999999976991,5.89999999966911,1.70000000049772,3.39999999955816,2.40000000008489,1.60000000037586,3.60000000003535,2.89999999946306,3.40000000029599,2.8,3.80000000016804,3.69999999958893,3.20000000006691,1.29999999991843,1.10000000013866,1.00000000010023,-5.0999999999227,3.84779349036314
